listing_url,product_url,image_url,name,sku,price,scent,main_category,sub_category,remote_image_url
https://www.stormbowling.com/products/bowling-essentials/cleaners-polishes/,https://www.stormbowling.com/storm-reacta-clean-ball-cleaner,static/catalog_images/reacta_clean_7684b7b8.webp,REACTA CLEAN,REACTA_CLEAN,$7.00,none,Bowling Essentials,Cleaners Polishes,https://assets.1.commercebuild.com/d186dcd2044cf54d8e48876defef4907/contents/REACTA_CLEAN/thumbnail/big_Storm_Cleaners_ReactaClean_8oz_(2)-Z_(1).png
https://www.stormbowling.com/products/bowling-essentials/cleaners-polishes/,https://www.stormbowling.com/storm-reacta-foam,static/catalog_images/reacta_foam_43f9e269.webp,REACTA FOAM,REACTA_FOAM,$5.78,none,Bowling Essentials,Cleaners Polishes,https://assets.1.commercebuild.com/d186dcd2044cf54d8e48876defef4907/contents/REACTA_FOAM/thumbnail/big_CHRFB@2.png
https://www.stormbowling.com/products/bowling-essentials/cleaners-polishes/,https://www.stormbowling.com/storm-power-edge-ball-polish,static/catalog_images/power_edge_49b54b6c.webp,POWER EDGE,POWER_EDGE,$9.90,none,Bowling Essentials,Cleaners Polishes,https://assets.1.commercebuild.com/d186dcd2044cf54d8e48876defef4907/contents/POWER_EDGE/thumbnail/big_Power_Edge_8oz_(2).png
https://www.stormbowling.com/products/bowling-essentials/cleaners-polishes/,https://www.stormbowling.com/storm-rough-edge-ball-polish-quart,static/catalog_images/chreq_9e4c6ed7.webp,ROUGH EDGE QUART,CHREQ,$25.30,none,Bowling Essentials,Cleaners Polishes,https://assets.1.commercebuild.com/d186dcd2044cf54d8e48876defef4907/contents/CHREQ/thumbnail/big_CHREQ@2.png
https://www.stormbowling.com/products/bowling-essentials/cleaners-polishes/,https://www.stormbowling.com/storm-smooth-edge-ball-polish-quart,static/catalog_images/chseq_dd8ec11c.webp,SMOOTH EDGE QUART,CHSEQ,$25.30,none,Bowling Essentials,Cleaners Polishes,https://assets.1.commercebuild.com/d186dcd2044cf54d8e48876defef4907/contents/CHSEQ/thumbnail/middle_CHSEQ@2.png
https://www.stormbowling.com/products/bowling-essentials/cleaners-polishes/,https://www.stormbowling.com/storm-reacta-skuff-ball-finish,static/catalog_images/reacta_skuff_763c07c4.webp,REACTA SKUFF,REACTA_SKUFF,$8.00,none,Bowling Essentials,Cleaners Polishes,https://assets.1.commercebuild.com/d186dcd2044cf54d8e48876defef4907/contents/REACTA_SKUFF/thumbnail/middle_CHRSKB@2.png
https://www.stormbowling.com/products/bowling-essentials/cleaners-polishes/,https://www.stormbowling.com/storm-reacta-shine-ball-polish,static/catalog_images/reacta_shine_af78e89c.webp,REACTA SHINE,REACTA_SHINE,$9.90,none,Bowling Essentials,Cleaners Polishes,https://assets.1.commercebuild.com/d186dcd2044cf54d8e48876defef4907/contents/REACTA_SHINE/thumbnail/middle_Storm_Cleaners_ReactaShine8.png
https://www.stormbowling.com/products/bowling-essentials/cleaners-polishes/,https://www.stormbowling.com/storm-reacta-gloss-ball-polish,static/catalog_images/reacta_gloss_47bbfa2b.webp,REACTA GLOSS,REACTA_GLOSS,12.10,none,Bowling Essentials,Cleaners Polishes,https://assets.1.commercebuild.com/d186dcd2044cf54d8e48876defef4907/contents/REACTA_GLOSS/thumbnail/middle_Storm_Reacta_Gloss_Web_8oz_(2).png
https://www.stormbowling.com/products/bowling-essentials/cleaners-polishes/,https://www.stormbowling.com/storm-u-clean-u-score-ball-cleaner,static/catalog_images/chucus_bef74487.webp,U-CLEAN U-SCORE,CHUCUS,$38.00,none,Bowling Essentials,Cleaners Polishes,https://assets.1.commercebuild.com/d186dcd2044cf54d8e48876defef4907/contents/CHUCUS/thumbnail/middle_Storm_Cleaners_2018_UCUS_8_(2)-Z.png
https://www.stormbowling.com/products/bowling-essentials/cleaners-polishes/,https://www.stormbowling.com/storm-true-blue-ball-cleaner,static/catalog_images/true_blue_a01b521b.webp,TRUE BLUE,TRUE_BLUE,$31.85,none,Bowling Essentials,Cleaners Polishes,https://assets.1.commercebuild.com/d186dcd2044cf54d8e48876defef4907/contents/TRUE_BLUE/thumbnail/middle_Storm_Cleaners_2018_TrueBlue_8_(2)-Z.png
